week_start,operating_system,user_type,sessions,gameplay_anytime_rate,gameplay_within_15s_rate,gameplay_within_30s_rate,promo_event_rate,promo_before_gameplay_rate,deposit_window_rate,deposit_initiated_rate,deposit_success_rate,scroll_rate,search_rate
2026-01-19,Android,NEW_USER,3921,0.38816628411119608,0.18337158888038765,0.26039275694975772,0.022953328232593731,0.003825554705432286,0.2420300943636827,0.25962764600867128,0.2410099464422342,0.22468757969905637,0.07829635297118083
2026-01-19,iOS,NEW_USER,2167,0.46654360867558836,0.31979695431472077,0.37748038763267189,0.021227503461006006,0.0059990770650669139,0.24873096446700516,0.2750346100599908,0.2602676511305953,0.28287955699123207,0.080756806645131518
2026-01-12,Android,RETURNING_USER,6901,0.68801622953195218,0.35936820750615844,0.47717722069265328,0.030575278945080431,0.010288364005216637,0.35197797420663679,0.31806984495000723,0.36096217939429065,0.510795536878713,0.10636139689900015
2026-01-12,iOS,RETURNING_USER,4361,0.74730566383856933,0.54276542077505152,0.62852556753038269,0.034395780784223812,0.0087135977986700277,0.36711763357028204,0.32721852786058242,0.38958954368264165,0.48085301536344871,0.11121302453565698
2026-01-12,Android,NEW_USER,3266,0.69748928352725037,0.3487446417636253,0.47336191059399874,0.055725658297611773,0.022657685241886109,0.47030006123698709,0.44733619105939987,0.44366197183098588,0.4112063686466626,0.13686466625842011
2026-01-12,iOS,NEW_USER,1906,0.83945435466946483,0.58132214060860432,0.68258132214060852,0.050891920251836316,0.017313746065057711,0.45225603357817412,0.44491080797481636,0.45068205666316891,0.48216159496327388,0.15844700944386153
2026-01-05,Android,RETURNING_USER,6549,0.68804397617956958,0.34310581768208886,0.46602534738127943,0.038631852191174244,0.010841349824400673,0.33806688043976185,0.16032982134677057,0.36738433348602845,0.49152542372881358,0.10474881661322337
2026-01-05,iOS,RETURNING_USER,4060,0.80615763546798036,0.585960591133005,0.67684729064039417,0.032512315270935975,0.00812807881773399,0.3706896551724137,0.13669950738916256,0.38940886699507388,0.51921182266009858,0.13472906403940887
2026-01-05,Android,NEW_USER,3111,0.6126647380263579,0.2847958855673417,0.41401478624236582,0.0469302475088396,0.014786242365798782,0.39826422372227582,0.18932819029251047,0.37029893924783025,0.35294117647058831,0.13082610093217611
2026-01-05,iOS,NEW_USER,1732,0.733256351039261,0.50750577367205552,0.59411085450346413,0.035219399538106246,0.0092378752886836044,0.40069284064665128,0.14318706697459582,0.37355658198614317,0.41859122401847582,0.15704387990762128
